#,site,type,action,user,password,email,role,meta-customdata,name,value,new-name
#,,,,,,,,,,,
#,commented,rows,are,not,processed,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#,"site, type, action, user, password, email, role, meta-{name}",,,,,,,,,,
#,,,,,,,,,,,
,test-batch,user,add,user1,,user4@email.com,,customuser1,,,
,test-batch,user,add,user2,password,user4@email.com,,customuser2,,,
,test-batch,user,add,user3,,user4@email.com,subscriber,customuser3,,,
#,,,,,,,,,,,
#,"site, type, action, user, password, email, role, meta-{name}",,,,,,,,,,
#,,,,,,,,,,,
,test-batch,user,update,user2,,user4@email.com,administrator,customuserTwo,,,
#,,,,,,,,,,,
#,"site, type, action, user",,,,,,,,,,
#,,,,,,,,,,,
,test-batch,user,delete,user2,,,,,,,
#,,,,,,,,,,,
#,"site, type, action, user, name, value",,,,,,,,,,
#,,,,,,,,,,,
,test-batch,user,add-meta,user3,,,,,customdata1,1,
#,,,,,,,,,,,
#,"site, type, action, user, name, value",,,,,,,,,,
#,,,,,,,,,,,
,test-batch,user,update-meta,user3,,,,,customdata,2,
#,,,,,,,,,,,
#,"site, type, action, user, name, value",,,,,,,,,,
#,,,,,,,,,,,
,test-batch,user,replace-meta,user3,,,,,customdata1,one,
#,,,,,,,,,,,
#,"site, type, action, user, name",,,,,,,,,,
#,,,,,,,,,,,
,test-batch,user,delete-meta,user3,,,,,customdata1,,
#,,,,,,,,,,,
#,"site, type, action, user, name, new-name",,,,,,,,,,
#,,,,,,,,,,,
,test-batch,user,copy-meta,user3,,,,,customdata1,,custom-data-1
,techne,user,add,user4,,user4@email.com,administrator,customuser1,,,
,techne,user,add,user5,,user5@email.com,subscriber,customuser1,,,
,techne,user,add,user6,,user6@email.com,editor,,,,
,techne,user,add,user7,,user7@email.com,editor,,,,
